category,subcategory,symptoms,step_number,diagnosis_step,possible_results,vehicle_type,fuel_type,symptom,possible_fault,severity,user_fixable,tools_needed,beginner_steps,mechanic_advice,estimated_cost_inr,urgency,safety_warning
ABS System,ABS Control Module,ABS warning light on | Brake pedal pulsation,1,Check ABS fuse,Blown | Intact,,,,,,,,,,,,
ABS System,ABS Control Module,ABS warning light on | Brake pedal pulsation,2,Inspect wiring to ABS module,Faulty wiring | Good wiring,,,,,,,,,,,,
ABS System,ABS Wheel Speed Sensor,ABS light stays on | Erratic speedometer,1,Inspect wheel speed sensor connections,Loose connections | Secure connections,,,,,,,,,,,,
ABS System,ABS Wheel Speed Sensor,ABS light stays on | Erratic speedometer,2,Check wheel speed sensor for debris or damage,Dirty/damaged | Clean/intact,,,,,,,,,,,,
ABS System,Brake Booster,Spongy brake pedal | Hard brake pedal,1,Check brake booster vacuum hose,Leaking | Intact,,,,,,,,,,,,
ABS System,Brake Booster,Spongy brake pedal | Hard brake pedal,2,Test brake booster vacuum pressure,Low vacuum pressure | Normal vacuum pressure,,,,,,,,,,,,
ABS System,Brake Caliper,Brake pulling to one side | Brake dragging,1,Inspect brake caliper for leaks,Leaking fluid | No leaks,,,,,,,,,,,,
ABS System,Brake Caliper,Brake pulling to one side | Brake dragging,2,Check brake caliper piston operation,Stuck piston | Free-moving piston,,,,,,,,,,,,
ABS System,Brake Hose,Brake fluid leak | Soft brake pedal,1,Inspect brake hose for cracks or leaks,Cracked/leaking hose | Intact hose,,,,,,,,,,,,
ABS System,Brake Hose,Brake fluid leak | Soft brake pedal,2,Pressure test brake hose,Failed pressure test | Passes pressure test,,,,,,,,,,,,
ABS System,Brake Master Cylinder,Spongy brake pedal | Brake fluid leaks,1,Check brake fluid level in master cylinder,Low fluid level | Normal fluid level,,,,,,,,,,,,
ABS System,Brake Master Cylinder,Spongy brake pedal | Brake fluid leaks,2,Inspect master cylinder for leaks or damage,Leaking/damaged | Intact,,,,,,,,,,,,
ABS System,Brake Pad,Squealing brakes | Brake pedal pulsation,1,Check brake pad thickness,Worn pads | Sufficient thickness pads,,,,,,,,,,,,
ABS System,Brake Pad,Squealing brakes | Brake pedal pulsation,2,Inspect brake pad condition,Worn/damaged pads | Good condition pads,,,,,,,,,,,,
ABS System,Brake Rotor,Brake pedal pulsation | Steering wheel vibration,1,Measure brake rotor thickness,Thin rotor | Sufficient thickness rotor,,,,,,,,,,,,
ABS System,Brake Rotor,Brake pedal pulsation | Steering wheel vibration,2,Inspect brake rotor for scoring or warping,Scored/warped rotor | Smooth rotor,,,,,,,,,,,,
ABS System,Brake Shoe & Drum,Spongy brake pedal | Brake dragging,1,Inspect brake shoes for wear,Worn shoes | Good condition shoes,,,,,,,,,,,,
ABS System,Brake Shoe & Drum,Spongy brake pedal | Brake dragging,2,Check brake drum for scoring or cracks,Scored/cracked drum | Smooth drum,,,,,,,,,,,,
Air Conditioning System,AC Compressor,No cold air from vents | Loud noise when AC is on,1,Check AC compressor clutch operation,Clutch not engaging | Clutch engages properly,,,,,,,,,,,,
Air Conditioning System,AC Compressor,No cold air from vents | Loud noise when AC is on,2,Inspect AC compressor for leaks or damage,Leaking/damaged compressor | Intact compressor,,,,,,,,,,,,
Air Conditioning System,AC Condenser,Warm air from AC vents | AC system not cooling,1,Inspect AC condenser for debris or blockage,Debris/blockage present | Clean/clear condenser,,,,,,,,,,,,
Air Conditioning System,AC Condenser,Warm air from AC vents | AC system not cooling,2,Check for leaks in AC condenser,Leaking condenser | No leaks,,,,,,,,,,,,
Air Conditioning System,AC Evaporator,Musty odor from vents | Weak airflow from vents,1,Inspect AC evaporator for mold or mildew buildup,Mold/mildew present | Clean evaporator,,,,,,,,,,,,
Air Conditioning System,AC Evaporator,Musty odor from vents | Weak airflow from vents,2,Check AC evaporator temperature sensor,Faulty sensor | Good sensor,,,,,,,,,,,,
Air Conditioning System,AC Recharge,Warm air from vents | Low AC system pressure,1,Check AC system pressure with gauge,Low pressure | Normal pressure,,,,,,,,,,,,
Air Conditioning System,AC Recharge,Warm air from vents | Low AC system pressure,2,Inspect for leaks in AC system,Leaking system | No leaks,,,,,,,,,,,,
Air Conditioning System,Air Conditioning Diagnosis,AC system not working | Unusual noise from AC system,1,Perform AC system diagnostic scan,Error codes present | No error codes,,,,,,,,,,,,
Air Conditioning System,Air Conditioning Diagnosis,AC system not working | Unusual noise from AC system,2,Check AC system components for proper operation,Component failure | Components working properly,,,,,,,,,,,,
Air Conditioning System,Cabin Air Filter,Musty odor from vents | Reduced airflow from vents,1,Inspect and replace cabin air filter,Dirty/clogged filter | Clean/new filter,,,,,,,,,,,,
Air Conditioning System,Cabin Air Filter,Musty odor from vents | Reduced airflow from vents,2,Check for debris in cabin air intake,Debris in intake | Clear intake,,,,,,,,,,,,
Air Conditioning System,Heater Blower Motor,No air from vents | Loud noise from HVAC system,1,Test blower motor operation,Motor not running | Motor running properly,,,,,,,,,,,,
Air Conditioning System,Heater Blower Motor,No air from vents | Loud noise from HVAC system,2,Inspect blower motor for debris or damage,Debris/damage present | Clean/intact motor,,,,,,,,,,,,
Air Conditioning System,Heater Blower Motor Resistor,HVAC fan speed erratic | HVAC fan only works on certain settings,1,Test blower motor resistor continuity,Resistor failure | Resistor working properly,,,,,,,,,,,,
Air Conditioning System,Heater Blower Motor Resistor,HVAC fan speed erratic | HVAC fan only works on certain settings,2,Inspect resistor for overheating or burn marks,Overheated/burned resistor | Good condition resistor,,,,,,,,,,,,
Cooling System,Coolant/Antifreeze,Engine overheating | Coolant leaks under the vehicle,1,Check coolant level and condition,Low/dirty coolant | Sufficient/clean coolant,,,,,,,,,,,,
Cooling System,Coolant/Antifreeze,Engine overheating | Coolant leaks under the vehicle,2,Inspect radiator and hoses for leaks,Leaking radiator/hoses | No leaks,,,,,,,,,,,,
Cooling System,Coolant Leak Diagnosis,Visible coolant puddle under vehicle | Coolant odor in cabin,1,Pressure test cooling system,Leaking system | No leaks detected,,,,,,,,,,,,
Cooling System,Coolant Leak Diagnosis,Visible coolant puddle under vehicle | Coolant odor in cabin,2,"Inspect radiator, hoses, and water pump for leaks",Leaking component found | Components are intact,,,,,,,,,,,,
Cooling System,Engine Cooling System,Engine overheating | Temperature gauge in red zone,1,Check radiator for blockage or damage,Blocked/damaged radiator | Clear/intact radiator,,,,,,,,,,,,
Cooling System,Engine Cooling System,Engine overheating | Temperature gauge in red zone,2,Test thermostat operation,Faulty thermostat | Thermostat functioning properly,,,,,,,,,,,,
Cooling System,Heater Core,No heat from vents | Sweet smell in cabin,1,Inspect heater core for leaks,Leaking heater core | No leaks detected,,,,,,,,,,,,
Cooling System,Heater Core,No heat from vents | Sweet smell in cabin,2,Check coolant flow through heater core,Restricted flow | Good coolant flow,,,,,,,,,,,,
Cooling System,Heater Hose,Coolant odor in cabin | Visible coolant leak under vehicle,1,Inspect heater hose connections,Loose/damaged connections | Secure/intact connections,,,,,,,,,,,,
Cooling System,Heater Hose,Coolant odor in cabin | Visible coolant leak under vehicle,2,Pressure test heater hoses,Leaking hose detected | No leaks found,,,,,,,,,,,,
Cooling System,Radiator/Cooling Fan,Engine overheating | AC not cooling at idle,1,Test radiator fan operation,Fan not spinning | Fan operates correctly,,,,,,,,,,,,
Cooling System,Radiator/Cooling Fan,Engine overheating | AC not cooling at idle,2,Inspect radiator fan motor and relay,Faulty motor/relay | Motor/relay functioning properly,,,,,,,,,,,,
Cooling System,Radiator Hose,Coolant leak under vehicle | Visible wear/cracks on hoses,1,Inspect radiator hoses for damage,Damaged hoses found | Hoses are in good condition,,,,,,,,,,,,
Cooling System,Radiator Hose,Coolant leak under vehicle | Visible wear/cracks on hoses,2,Check hose connections for leaks,Leaking connections | No leaks detected,,,,,,,,,,,,
Cooling System,Water Pump,Engine overheating | Coolant leak near front of engine,1,Inspect water pump for leaks,Leaking pump | No leaks detected,,,,,,,,,,,,
Cooling System,Water Pump,Engine overheating | Coolant leak near front of engine,2,Test water pump for proper operation,Faulty pump | Pump working correctly,,,,,,,,,,,,
Drivetrain,Bevel Gears,Whining noise from drivetrain | Difficulty shifting gears,1,Inspect bevel gears for wear or damage,Worn/damaged gears | Gears in good condition,,,,,,,,,,,,
Drivetrain,Bevel Gears,Whining noise from drivetrain | Difficulty shifting gears,2,Check gear oil level and condition,Low/dirty gear oil | Sufficient/clean gear oil,,,,,,,,,,,,
Drivetrain,Center Differential,Vehicle binding on turns | Noise from drivetrain while turning,1,Inspect center differential fluid,Low/dirty fluid | Clean/sufficient fluid,,,,,,,,,,,,
Drivetrain,Center Differential,Vehicle binding on turns | Noise from drivetrain while turning,2,Check for excessive play in center differential,Excessive play detected | No excessive play,,,,,,,,,,,,
Drivetrain,Clutch Cable,Clutch pedal feels loose | Difficulty engaging gears,1,Inspect clutch cable for fraying or stretching,Damaged cable | Intact cable,,,,,,,,,,,,
Drivetrain,Clutch Cable,Clutch pedal feels loose | Difficulty engaging gears,2,Adjust clutch cable tension,Incorrect tension | Correct tension,,,,,,,,,,,,
Drivetrain,Clutch Slave Cylinder,Clutch pedal feels spongy | Fluid leak near clutch pedal,1,Check clutch slave cylinder for leaks,Leaking cylinder | No leaks detected,,,,,,,,,,,,
Drivetrain,Clutch Slave Cylinder,Clutch pedal feels spongy | Fluid leak near clutch pedal,2,Inspect clutch fluid level and condition,Low/dirty fluid | Sufficient/clean fluid,,,,,,,,,,,,
Drivetrain,Differential,Whining noise from rear end | Vehicle vibration at high speeds,1,Inspect differential fluid level and condition,Low/dirty fluid | Clean/sufficient fluid,,,,,,,,,,,,
Drivetrain,Differential,Whining noise from rear end | Vehicle vibration at high speeds,2,Check for differential bearing wear,Worn bearings | Bearings in good condition,,,,,,,,,,,,
Drivetrain,Live Axle,Axle noise while turning | Vehicle leans to one side,1,Inspect live axle for cracks or bending,Cracked/bent axle | Axle is intact,,,,,,,,,,,,
Drivetrain,Live Axle,Axle noise while turning | Vehicle leans to one side,2,Check axle bearings for wear,Worn bearings | Bearings in good condition,,,,,,,,,,,,
Drivetrain,Rigid Axle,Vehicle bounces over bumps | Loud noise from rear axle,1,Inspect rigid axle for cracks or damage,Cracked/damaged axle | Axle in good condition,,,,,,,,,,,,
Drivetrain,Rigid Axle,Vehicle bounces over bumps | Loud noise from rear axle,2,Check axle bearings for wear,Worn bearings | Bearings in good condition,,,,,,,,,,,,
Drivetrain,Slushbox,Transmission slipping | Delay in gear engagement,1,Check transmission fluid level and condition,Low/dirty fluid | Clean/sufficient fluid,,,,,,,,,,,,
Drivetrain,Slushbox,Transmission slipping | Delay in gear engagement,2,Inspect transmission for leaks,Leaking transmission | No leaks detected,,,,,,,,,,,,
Drivetrain,Universal Joint,Driveline vibration | Clunking noise when shifting,1,Inspect universal joint for wear or play,Worn/play detected | Joint in good condition,,,,,,,,,,,,
Drivetrain,Universal Joint,Driveline vibration | Clunking noise when shifting,2,Check driveline alignment,Misaligned driveline | Properly aligned driveline,,,,,,,,,,,,
Drivetrain,Viscous Coupling,Vehicle binding during turns | Noise from drivetrain while turning,1,Test viscous coupling operation,Coupling failure | Coupling functioning properly,,,,,,,,,,,,
Drivetrain,Viscous Coupling,Vehicle binding during turns | Noise from drivetrain while turning,2,Inspect viscous coupling fluid,Low/dirty fluid | Clean/sufficient fluid,,,,,,,,,,,,
Electrical System,Battery Replacement,Engine cranks slowly | Clicking sound when starting,1,Test battery voltage,Low voltage | Sufficient voltage,,,,,,,,,,,,
Electrical System,Battery Replacement,Engine cranks slowly | Clicking sound when starting,2,Inspect battery terminals for corrosion,Corroded terminals | Clean terminals,,,,,,,,,,,,
Electrical System,Charging System,Battery warning light on | Dim headlights,1,Test alternator output,Low output | Normal output,,,,,,,,,,,,
Electrical System,Charging System,Battery warning light on | Dim headlights,2,Check alternator belt tension,Loose belt | Properly tensioned belt,,,,,,,,,,,,
Electrical System,Check Engine Light Diagnosis,Check engine light on | Poor engine performance,1,Scan for diagnostic trouble codes (DTCs),DTCs present | No DTCs,,,,,,,,,,,,
Electrical System,Check Engine Light Diagnosis,Check engine light on | Poor engine performance,2,Check sensors related to DTCs,Faulty sensor | Sensor working properly,,,,,,,,,,,,
Electrical System,Door Window Motor,Window does not move | Window moves intermittently,1,Test power to window motor,No power | Power present,,,,,,,,,,,,
Electrical System,Door Window Motor,Window does not move | Window moves intermittently,2,Inspect window regulator for damage,Damaged regulator | Regulator intact,,,,,,,,,,,,
Electrical System,Door Window Regulator,Window off track | Window stuck in one position,1,Inspect window regulator mechanism,Mechanism jammed | Mechanism functioning,,,,,,,,,,,,
Electrical System,Door Window Regulator,Window off track | Window stuck in one position,2,Check window alignment in tracks,Misaligned window | Properly aligned window,,,,,,,,,,,,
Electrical System,Headlamp Bulb,Headlight not working | Dim headlight,1,Inspect headlamp bulb for filament condition,Burnt out filament | Filament intact,,,,,,,,,,,,
Electrical System,Headlamp Bulb,Headlight not working | Dim headlight,2,Check headlamp socket for corrosion,Corroded socket | Clean socket,,,,,,,,,,,,
Electrical System,Ignition Distributor Cap,Engine misfires | Difficulty starting engine,1,Inspect distributor cap for cracks or carbon tracks,Cracked/damaged cap | Cap in good condition,,,,,,,,,,,,
Electrical System,Ignition Distributor Cap,Engine misfires | Difficulty starting engine,2,Check distributor rotor for wear,Worn rotor | Rotor in good condition,,,,,,,,,,,,
Electrical System,Ignition Wire Set,Engine misfires | Poor fuel economy,1,Test ignition wires for continuity,Broken wire | Wires intact,,,,,,,,,,,,
Electrical System,Ignition Wire Set,Engine misfires | Poor fuel economy,2,Inspect spark plug boots for damage,Damaged boots | Intact boots,,,,,,,,,,,,
Electrical System,Power Door Lock Actuator,Door lock not responding | Clicking sound from door,1,Test power to door lock actuator,No power | Power present,,,,,,,,,,,,
Electrical System,Power Door Lock Actuator,Door lock not responding | Clicking sound from door,2,Inspect actuator mechanism for obstruction,Obstructed mechanism | Clear mechanism,,,,,,,,,,,,
Electrical System,Starter Motor,Engine does not crank | Clicking sound when key is turned,1,Test starter motor solenoid,Faulty solenoid | Solenoid working properly,,,,,,,,,,,,
Electrical System,Starter Motor,Engine does not crank | Clicking sound when key is turned,2,Inspect starter motor brushes for wear,Worn brushes | Brushes in good condition,,,,,,,,,,,,
Electrical System,Windshield Washer Pump,No washer fluid spray | Weak washer fluid spray,1,Test power to washer pump,No power | Power present,,,,,,,,,,,,
Electrical System,Windshield Washer Pump,No washer fluid spray | Weak washer fluid spray,2,Inspect washer pump for clogs or damage,Clogged/damaged pump | Clean/intact pump,,,,,,,,,,,,
Electrical System,Wiper Motor,Wipers not working | Wipers operate intermittently,1,Test power to wiper motor,No power | Power present,,,,,,,,,,,,
Electrical System,Wiper Motor,Wipers not working | Wipers operate intermittently,2,Inspect wiper motor linkage for wear,Worn linkage | Intact linkage,,,,,,,,,,,,
Emissions System,Canister Purge Valve,Check engine light on | Rough idle,1,Test canister purge valve operation,Valve stuck open/closed | Valve operates correctly,,,,,,,,,,,,
Emissions System,Canister Purge Valve,Check engine light on | Rough idle,2,Check for leaks in purge valve hoses,Leaking hoses | No leaks,,,,,,,,,,,,
Emissions System,Catalytic Converter,Rotten egg smell from exhaust | Check engine light on,1,Inspect catalytic converter for physical damage,Damaged converter | Converter intact,,,,,,,,,,,,
Emissions System,Catalytic Converter,Rotten egg smell from exhaust | Check engine light on,2,Check catalytic converter efficiency,Low efficiency | High efficiency,,,,,,,,,,,,
Emissions System,Charcoal Canister,Fuel odor from vehicle | Check engine light on,1,Test charcoal canister purge valve,Valve stuck open/closed | Valve operates correctly,,,,,,,,,,,,
Emissions System,Charcoal Canister,Fuel odor from vehicle | Check engine light on,2,Inspect canister for cracks or damage,Cracked/damaged canister | Intact canister,,,,,,,,,,,,
Emissions System,Exhaust Manifold,Loud exhaust noise | Exhaust smell in cabin,1,Inspect exhaust manifold for cracks or leaks,Cracked/leaking manifold | Intact manifold,,,,,,,,,,,,
Emissions System,Exhaust Manifold,Loud exhaust noise | Exhaust smell in cabin,2,Check exhaust manifold gasket for leaks,Leaking gasket | Good gasket,,,,,,,,,,,,
Emissions System,Exhaust Manifold Gasket,Loud exhaust noise | Visible exhaust leaks,1,Inspect exhaust manifold gasket for leaks,Leaking gasket | Good gasket,,,,,,,,,,,,
Emissions System,Exhaust Manifold Gasket,Loud exhaust noise | Visible exhaust leaks,2,Check exhaust manifold bolts for tightness,Loose bolts | Tight bolts,,,,,,,,,,,,
Emissions System,Fuel Tank Pressure Sensor,Check engine light on | Gas cap warning light,1,Test fuel tank pressure sensor,Faulty sensor | Sensor working properly,,,,,,,,,,,,
Emissions System,Fuel Tank Pressure Sensor,Check engine light on | Gas cap warning light,2,Check fuel tank cap for proper seal,Loose cap | Sealed cap,,,,,,,,,,,,
Emissions System,Knock Sensor,Engine knocking/pinging | Poor fuel economy,1,Test knock sensor operation,Faulty sensor | Sensor working properly,,,,,,,,,,,,
Emissions System,Knock Sensor,Engine knocking/pinging | Poor fuel economy,2,Inspect for engine misfire codes,Misfire codes present | No misfire codes,,,,,,,,,,,,
Emissions System,M.A.P. Sensor,Check engine light on | Rough idle,1,Test M.A.P. sensor voltage,Low voltage | Normal voltage,,,,,,,,,,,,
Emissions System,M.A.P. Sensor,Check engine light on | Rough idle,2,Inspect M.A.P. sensor vacuum hose,Leaking hose | Intact hose,,,,,,,,,,,,
Emissions System,Oxygen Sensor,Check engine light on | Poor fuel economy,1,Test oxygen sensor voltage,Low voltage | Normal voltage,,,,,,,,,,,,
Emissions System,Oxygen Sensor,Check engine light on | Poor fuel economy,2,Inspect oxygen sensor wiring for damage,Damaged wiring | Intact wiring,,,,,,,,,,,,
Engine Components,Balance Shaft,Engine vibration | Rough idle,1,Inspect balance shaft for wear or damage,Worn/damaged shaft | Shaft in good condition,,,,,,,,,,,,
Engine Components,Balance Shaft,Engine vibration | Rough idle,2,Check balance shaft alignment,Misaligned shaft | Properly aligned shaft,,,,,,,,,,,,
Engine Components,Boost Pressure,Loss of power | Turbo lag,1,Check boost pressure with gauge,Low boost pressure | Normal boost pressure,,,,,,,,,,,,
Engine Components,Boost Pressure,Loss of power | Turbo lag,2,Inspect intercooler for leaks or damage,Leaking/damaged intercooler | Intact intercooler,,,,,,,,,,,,
Engine Components,Diesel Injection Pump,Engine misfires | Black smoke from exhaust,1,Test diesel injection pump pressure,Low pressure | Normal pressure,,,,,,,,,,,,
Engine Components,Diesel Injection Pump,Engine misfires | Black smoke from exhaust,2,Inspect diesel injectors for leaks or clogs,Leaking/clogged injectors | Clean/in-tolerance injectors,,,,,,,,,,,,
Engine Components,Diesel Glow Plug,Hard starting in cold weather | Glow plug indicator light stays on,1,Test glow plug resistance,High resistance | Normal resistance,,,,,,,,,,,,
Engine Components,Diesel Glow Plug,Hard starting in cold weather | Glow plug indicator light stays on,2,Inspect glow plug for carbon buildup,Carbon buildup | Clean plug,,,,,,,,,,,,
Engine Components,Engine Mounts,Excessive engine movement | Clunking noise when accelerating,1,Inspect engine mounts for wear or damage,Worn/damaged mounts | Mounts in good condition,,,,,,,,,,,,
Engine Components,Engine Mounts,Excessive engine movement | Clunking noise when accelerating,2,Check mounting bolts for tightness,Loose bolts | Tight bolts,,,,,,,,,,,,
Engine Components,Exhaust Valve,Engine misfires | Rough idle,1,Inspect exhaust valve for carbon buildup,Buildup on valve | Clean valve,,,,,,,,,,,,
Engine Components,Exhaust Valve,Engine misfires | Rough idle,2,Check valve clearance,Incorrect clearance | Correct clearance,,,,,,,,,,,,
Engine Components,Fuel Injector,Engine misfires | Poor fuel economy,1,Test fuel injector spray pattern,Irregular spray pattern | Uniform spray pattern,,,,,,,,,,,,
Engine Components,Fuel Injector,Engine misfires | Poor fuel economy,2,Inspect injector for leaks or clogs,Leaking/clogged injector | Clean/in-tolerance injector,,,,,,,,,,,,
Engine Components,Idle Air Control Valve,Erratic idle speed | Stalling at idle,1,Test IAC valve for proper operation,Valve stuck open/closed | Valve operates correctly,,,,,,,,,,,,
Engine Components,Idle Air Control Valve,Erratic idle speed | Stalling at idle,2,Clean throttle body and IAC valve,Dirty components | Clean components,,,,,,,,,,,,
Engine Components,Intake Valve,Engine misfires | Rough idle,1,Inspect intake valve for carbon buildup,Buildup on valve | Clean valve,,,,,,,,,,,,
Engine Components,Intake Valve,Engine misfires | Rough idle,2,Check valve clearance,Incorrect clearance | Correct clearance,,,,,,,,,,,,
Engine Components,Oil Pump,Low oil pressure warning light | Engine knocking noise,1,Test oil pressure with gauge,Low oil pressure | Normal oil pressure,,,,,,,,,,,,
Engine Components,Oil Pump,Low oil pressure warning light | Engine knocking noise,2,Inspect oil pump for wear or damage,Worn/damaged pump | Pump in good condition,,,,,,,,,,,,
Engine Components,Piston Rings,Blue smoke from exhaust | Loss of engine power,1,Perform compression test,Low compression | Good compression,,,,,,,,,,,,
Engine Components,Piston Rings,Blue smoke from exhaust | Loss of engine power,2,Inspect piston rings for wear or damage,Worn/damaged rings | Rings in good condition,,,,,,,,,,,,
Engine Components,Timing Belt,Engine misfires | Engine won't start,1,Inspect timing belt for wear or damage,Worn/damaged belt | Belt in good condition,,,,,,,,,,,,
